,10000,20000,40000
0,0.6746130694887477,0.5599791017045422,0.5183585636175317
1,0.9066461731903684,0.7277159660382035,0.6607255699866588
2,0.17604986265635342,0.1414372189095512,0.12811179066790715
3,0.3598513135139602,0.3071790842246373,0.2788516143288493
4,0.17999700568646357,0.1533406278976065,0.14849485638695425
5,0.24900547159052253,0.20235262651838645,0.18235550705567072
6,0.14450478853242746,0.12801811127162824,0.11876943760695251
7,0.16903659425209908,0.1421285857786935,0.14617961198154925
8,0.12534741178368558,0.1003415931295981,0.09571445279334471
9,0.1808144173235154,0.1702625564034675,0.09242970809412596
10,0.13037490094037038,0.11927931361052332,0.075010648826692
11,0.13446405541673012,0.12655881524688187,0.13667842708378986
12,0.13991850422358343,0.13916566582055145,0.09584530659151483
