,1000,2000,4000,8000,16000
0,1.1339704581689958,0.9761239035081555,0.726862908325911,0.6217636558612926,0.5023865897363045
1,2.21455301967313,1.7797416284132686,1.207679358884119,0.9441715406811062,0.723982942934066
2,0.2121242561227848,0.1474237284288833,0.12634399732785861,0.1290481783583003,0.14070736959957378
3,0.5578022117632712,0.487724550478956,0.3703574948377864,0.3246099950972805,0.2722670399077326
4,0.3777206083737136,0.32681394027213895,0.2432886034045769,0.202978970640101,0.1657586565983678
5,0.42182580268108255,0.3613832573356867,0.2707006429108196,0.2269113210125517,0.18551682037471792
6,0.3231601655719164,0.2770177544879005,0.2060092824781271,0.16734996852155953,0.13510658832122938
7,0.3581667013726399,0.3068148800013235,0.2301050768994131,0.1878786395525855,0.15124097489987512
8,0.28211547849523083,0.24220502378300215,0.18011871442441013,0.1440929826859655,0.1153530237848809
9,0.2607679191381064,0.22579591564878732,0.17169500598458268,0.14089368401019442,0.11341790541026822
10,0.1903381575689527,0.16637262401195543,0.12492096310416435,0.10365757134641751,0.08304334663330222
11,0.20009880285851633,0.17609280388872345,0.13562249460673434,0.1139456878951266,0.0941473429576091
12,0.14516303844608336,0.1258213341544201,0.09655488024010646,0.08264854115260763,0.06930199942998778
