epoch,loss,mean_squared_error,val_loss,val_mean_squared_error
0,1.0383155345916748,1.0383155345916748,0.9982203245162964,0.9982203245162964
1,0.9956290125846863,0.9956290125846863,0.979447066783905,0.979447066783905
2,0.9677875638008118,0.9677875638008118,0.9355300068855286,0.9355300068855286
3,0.9376533627510071,0.9376533627510071,0.9071624279022217,0.9071624279022217
4,0.8835197687149048,0.8835197687149048,0.8294817209243774,0.8294817209243774
5,0.7974759340286255,0.7974759340286255,0.717086911201477,0.717086911201477
6,0.6914767026901245,0.6914767026901245,0.6537420153617859,0.6537420153617859
7,0.6451112627983093,0.6451112627983093,0.6775540113449097,0.6775540113449097
8,0.6169670820236206,0.6169670820236206,0.5880930423736572,0.5880930423736572
9,0.5718170404434204,0.5718170404434204,0.5541253089904785,0.5541253089904785
10,0.5527374744415283,0.5527374744415283,0.5426661372184753,0.5426661372184753
11,0.5377880334854126,0.5377880334854126,0.523872435092926,0.523872435092926
12,0.5294612646102905,0.5294612646102905,0.5250725746154785,0.5250725746154785
13,0.5223967432975769,0.5223967432975769,0.5142078399658203,0.5142078399658203
14,0.5134872198104858,0.5134872198104858,0.5090131163597107,0.5090131163597107
15,0.5095495581626892,0.5095495581626892,0.5056623220443726,0.5056623220443726
16,0.5059972405433655,0.5059972405433655,0.5095440745353699,0.5095440745353699
17,0.5052067041397095,0.5052067041397095,0.5027515888214111,0.5027515888214111
18,0.5074349641799927,0.5074349641799927,0.4965113401412964,0.4965113401412964
19,0.5499486327171326,0.5499486327171326,0.5926456451416016,0.5926456451416016
20,0.5609078407287598,0.5609078407287598,0.5786874890327454,0.5786874890327454
21,0.5294141173362732,0.5294141173362732,0.5028116703033447,0.5028116703033447
22,0.5134838819503784,0.5134838819503784,0.48995810747146606,0.48995810747146606
23,0.5027240514755249,0.5027240514755249,0.48646456003189087,0.48646456003189087
24,0.49646610021591187,0.49646610021591187,0.4943661689758301,0.4943661689758301
25,0.4884517788887024,0.4884517788887024,0.48027503490448,0.48027503490448
26,0.4786493182182312,0.4786493182182312,0.47348183393478394,0.47348183393478394
27,0.470882773399353,0.470882773399353,0.47015380859375,0.47015380859375
28,0.46657460927963257,0.46657460927963257,0.4663678705692291,0.4663678705692291
29,0.4630107581615448,0.4630107581615448,0.46315252780914307,0.46315252780914307
30,0.4604288637638092,0.4604288637638092,0.4635988175868988,0.4635988175868988
31,0.4584733545780182,0.4584733545780182,0.4552008807659149,0.4552008807659149
32,0.4520227909088135,0.4520227909088135,0.45126986503601074,0.45126986503601074
33,0.447746217250824,0.447746217250824,0.4475829005241394,0.4475829005241394
34,0.44716188311576843,0.44716188311576843,0.44833624362945557,0.44833624362945557
35,0.4412654638290405,0.4412654638290405,0.43875205516815186,0.43875205516815186
36,0.4352014362812042,0.4352014362812042,0.43440869450569153,0.43440869450569153
37,0.4308869242668152,0.4308869242668152,0.43232348561286926,0.43232348561286926
38,0.433193564414978,0.433193564414978,0.43635448813438416,0.43635448813438416
39,0.42821648716926575,0.42821648716926575,0.4205082058906555,0.4205082058906555
40,0.41676652431488037,0.41676652431488037,0.4160335958003998,0.4160335958003998
41,0.4144463837146759,0.4144463837146759,0.41216886043548584,0.41216886043548584
42,0.40987998247146606,0.40987998247146606,0.4079408347606659,0.4079408347606659
43,0.40497449040412903,0.40497449040412903,0.40415340662002563,0.40415340662002563
44,0.3981213867664337,0.3981213867664337,0.401812344789505,0.401812344789505
45,0.3988918364048004,0.3988918364048004,0.4088733196258545,0.4088733196258545
46,0.3987458348274231,0.3987458348274231,0.4005321264266968,0.4005321264266968
47,0.39857056736946106,0.39857056736946106,0.3946036696434021,0.3946036696434021
48,0.39011767506599426,0.39011767506599426,0.3882608711719513,0.3882608711719513
49,0.3865574598312378,0.3865574598312378,0.39130130410194397,0.39130130410194397
50,0.390106737613678,0.390106737613678,0.38692164421081543,0.38692164421081543
51,0.3831304609775543,0.3831304609775543,0.3812503218650818,0.3812503218650818
52,0.37669575214385986,0.37669575214385986,0.37968435883522034,0.37968435883522034
53,0.3757967948913574,0.3757967948913574,0.37787652015686035,0.37787652015686035
54,0.374301940202713,0.374301940202713,0.37969931960105896,0.37969931960105896
55,0.3730565011501312,0.3730565011501312,0.3735295832157135,0.3735295832157135
56,0.3678547441959381,0.3678547441959381,0.37584754824638367,0.37584754824638367
57,0.3738924562931061,0.3738924562931061,0.387786865234375,0.387786865234375
58,0.3746754229068756,0.3746754229068756,0.3712935447692871,0.3712935447692871
59,0.3644210994243622,0.3644210994243622,0.3695290982723236,0.3695290982723236
60,0.3639923334121704,0.3639923334121704,0.36996394395828247,0.36996394395828247
61,0.37513649463653564,0.37513649463653564,0.36787500977516174,0.36787500977516174
62,0.3811072111129761,0.3811072111129761,0.38791781663894653,0.38791781663894653
63,0.37174054980278015,0.37174054980278015,0.3792342245578766,0.3792342245578766
64,0.3698119819164276,0.3698119819164276,0.36577120423316956,0.36577120423316956
65,0.3660026490688324,0.3660026490688324,0.3806552588939667,0.3806552588939667
66,0.3668056130409241,0.3668056130409241,0.3754638433456421,0.3754638433456421
