epoch,loss,mean_squared_error,val_loss,val_mean_squared_error
0,0.9605386257171631,0.9605386257171631,0.8706920742988586,0.8706920742988586
1,0.7394352555274963,0.7394352555274963,0.5296173095703125,0.5296173095703125
2,0.29860350489616394,0.29860350489616394,0.09691625088453293,0.09691625088453293
3,0.13220950961112976,0.13220950961112976,0.06689421832561493,0.06689421832561493
4,0.08031710237264633,0.08031710237264633,0.05395589768886566,0.05395589768886566
5,0.056152258068323135,0.056152258068323135,0.03295927122235298,0.03295927122235298
6,0.039335668087005615,0.039335668087005615,0.023579441010951996,0.023579441010951996
7,0.030748018994927406,0.030748018994927406,0.01718459464609623,0.01718459464609623
8,0.02702346257865429,0.02702346257865429,0.015527484007179737,0.015527484007179737
9,0.025662651285529137,0.025662651285529137,0.014155125245451927,0.014155125245451927
10,0.02501610480248928,0.02501610480248928,0.013777647167444229,0.013777647167444229
11,0.024374255910515785,0.024374255910515785,0.01351194642484188,0.01351194642484188
12,0.024093538522720337,0.024093538522720337,0.013563677668571472,0.013563677668571472
13,0.023744018748402596,0.023744018748402596,0.012552663683891296,0.012552663683891296
14,0.02336355298757553,0.02336355298757553,0.012511342763900757,0.012511342763900757
15,0.02293994091451168,0.02293994091451168,0.012112999334931374,0.012112999334931374
16,0.02268064022064209,0.02268064022064209,0.011597901582717896,0.011597901582717896
17,0.02218306064605713,0.02218306064605713,0.011157140135765076,0.011157140135765076
18,0.021793300285935402,0.021793300285935402,0.011755059473216534,0.011755059473216534
19,0.021739065647125244,0.021739065647125244,0.010187026113271713,0.010187026113271713
20,0.02063920721411705,0.02063920721411705,0.009770367294549942,0.009770367294549942
21,0.021797247231006622,0.021797247231006622,0.01112570520490408,0.01112570520490408
22,0.021024737507104874,0.021024737507104874,0.008876211941242218,0.008876211941242218
23,0.019333481788635254,0.019333481788635254,0.008971781469881535,0.008971781469881535
24,0.021304285153746605,0.021304285153746605,0.009010717272758484,0.009010717272758484
25,0.019272316247224808,0.019272316247224808,0.00948539562523365,0.00948539562523365
26,0.024765286594629288,0.024765286594629288,0.011422544717788696,0.011422544717788696
27,0.020397750660777092,0.020397750660777092,0.007911424152553082,0.007911424152553082
28,0.018886776641011238,0.018886776641011238,0.009620788507163525,0.009620788507163525
29,0.020008381456136703,0.020008381456136703,0.010704089887440205,0.010704089887440205
30,0.019565558061003685,0.019565558061003685,0.007493474520742893,0.007493474520742893
31,0.018419262021780014,0.018419262021780014,0.009799840860068798,0.009799840860068798
32,0.021529490128159523,0.021529490128159523,0.01889575831592083,0.01889575831592083
33,0.026396045461297035,0.026396045461297035,0.010836876928806305,0.010836876928806305
34,0.022399764508008957,0.022399764508008957,0.011898144148290157,0.011898144148290157
35,0.021013231948018074,0.021013231948018074,0.010085804387927055,0.010085804387927055
36,0.019023830071091652,0.019023830071091652,0.00945367757230997,0.00945367757230997
37,0.01927294209599495,0.01927294209599495,0.009489125572144985,0.009489125572144985
38,0.019054455682635307,0.019054455682635307,0.010496150702238083,0.010496150702238083
39,0.0192452073097229,0.0192452073097229,0.011551066301763058,0.011551066301763058
40,0.020205073058605194,0.020205073058605194,0.007239724509418011,0.007239724509418011
41,0.021128620952367783,0.021128620952367783,0.010765225626528263,0.010765225626528263
42,0.01995614357292652,0.01995614357292652,0.010561601258814335,0.010561601258814335
43,0.019678549841046333,0.019678549841046333,0.008182435296475887,0.008182435296475887
44,0.020683929324150085,0.020683929324150085,0.007360904477536678,0.007360904477536678
45,0.018256954848766327,0.018256954848766327,0.0071216789074242115,0.0071216789074242115
46,0.01815624162554741,0.01815624162554741,0.00851307064294815,0.00851307064294815
47,0.01895136572420597,0.01895136572420597,0.008656959049403667,0.008656959049403667
48,0.018314436078071594,0.018314436078071594,0.007943710312247276,0.007943710312247276
49,0.018000753596425056,0.018000753596425056,0.0069989776238799095,0.0069989776238799095
50,0.01775728166103363,0.01775728166103363,0.007192984223365784,0.007192984223365784
51,0.018425235524773598,0.018425235524773598,0.010879429057240486,0.010879429057240486
52,0.018978813663125038,0.018978813663125038,0.008730600588023663,0.008730600588023663
53,0.019563736394047737,0.019563736394047737,0.007383424323052168,0.007383424323052168
54,0.019846448674798012,0.019846448674798012,0.007217791862785816,0.007217791862785816
55,0.018053648993372917,0.018053648993372917,0.007491941098123789,0.007491941098123789
56,0.01787498965859413,0.01787498965859413,0.012213540263473988,0.012213540263473988
57,0.02857813611626625,0.02857813611626625,0.00708999577909708,0.00708999577909708
58,0.022216610610485077,0.022216610610485077,0.009545891545712948,0.009545891545712948
59,0.020209264010190964,0.020209264010190964,0.009448123164474964,0.009448123164474964
60,0.018550962209701538,0.018550962209701538,0.008373339660465717,0.008373339660465717
61,0.01778603531420231,0.01778603531420231,0.0072017149068415165,0.0072017149068415165
62,0.018192781135439873,0.018192781135439873,0.007322670891880989,0.007322670891880989
63,0.018194450065493584,0.018194450065493584,0.0069373794831335545,0.0069373794831335545
64,0.017863202840089798,0.017863202840089798,0.0071213990449905396,0.0071213990449905396
65,0.017787862569093704,0.017787862569093704,0.007251734845340252,0.007251734845340252
66,0.017617158591747284,0.017617158591747284,0.008376376703381538,0.008376376703381538
67,0.018223769962787628,0.018223769962787628,0.007060624659061432,0.007060624659061432
68,0.018386775627732277,0.018386775627732277,0.006854514125734568,0.006854514125734568
