epoch,loss,mean_squared_error,val_loss,val_mean_squared_error
0,1.0004582405090332,1.0004582405090332,0.9442416429519653,0.9442416429519653
1,0.9707034230232239,0.9707034230232239,0.8640431761741638,0.8640431761741638
2,0.8690928220748901,0.8690928220748901,0.6917267441749573,0.6917267441749573
3,0.7742222547531128,0.7742222547531128,0.7007525563240051,0.7007525563240051
4,0.7424749135971069,0.7424749135971069,0.6786936521530151,0.6786936521530151
5,0.7367843985557556,0.7367843985557556,0.678351879119873,0.678351879119873
6,0.727092981338501,0.727092981338501,0.6596607565879822,0.6596607565879822
7,0.7110153436660767,0.7110153436660767,0.6633381247520447,0.6633381247520447
8,0.7130761742591858,0.7130761742591858,0.6455953121185303,0.6455953121185303
9,0.7082891464233398,0.7082891464233398,0.6472386717796326,0.6472386717796326
10,0.7053999900817871,0.7053999900817871,0.6589016914367676,0.6589016914367676
11,0.7031716704368591,0.7031716704368591,0.6379095911979675,0.6379095911979675
12,0.6885612607002258,0.6885612607002258,0.6425305008888245,0.6425305008888245
13,0.6817353367805481,0.6817353367805481,0.6335664987564087,0.6335664987564087
14,0.6774708032608032,0.6774708032608032,0.6189917922019958,0.6189917922019958
15,0.6693166494369507,0.6693166494369507,0.6180534958839417,0.6180534958839417
16,0.6515719890594482,0.6515719890594482,0.6040677428245544,0.6040677428245544
17,0.6461859941482544,0.6461859941482544,0.6046652793884277,0.6046652793884277
18,0.6203392148017883,0.6203392148017883,0.5877319574356079,0.5877319574356079
19,0.6054927110671997,0.6054927110671997,0.5715053081512451,0.5715053081512451
20,0.5924136638641357,0.5924136638641357,0.5935258865356445,0.5935258865356445
21,0.608184814453125,0.608184814453125,0.5145777463912964,0.5145777463912964
22,0.5605394840240479,0.5605394840240479,0.5445808172225952,0.5445808172225952
23,0.551483690738678,0.551483690738678,0.47821712493896484,0.47821712493896484
24,0.5421029329299927,0.5421028733253479,0.5169214010238647,0.5169214010238647
25,0.5354269742965698,0.5354269742965698,0.4744911789894104,0.4744911789894104
26,0.5077576637268066,0.5077576637268066,0.45647481083869934,0.45647481083869934
27,0.5099937319755554,0.5099937319755554,0.47058820724487305,0.47058820724487305
28,0.4847516417503357,0.4847516417503357,0.42566096782684326,0.42566096782684326
29,0.4712349772453308,0.4712349772453308,0.4291428029537201,0.4291428029537201
30,0.44811195135116577,0.44811195135116577,0.43374574184417725,0.43374574184417725
31,0.44849976897239685,0.44849976897239685,0.3996451795101166,0.3996451795101166
32,0.4402097165584564,0.4402097165584564,0.39826518297195435,0.39826518297195435
33,0.4254976511001587,0.4254976511001587,0.3902634382247925,0.3902634382247925
34,0.4133775532245636,0.4133775532245636,0.37060070037841797,0.37060070037841797
35,0.4059295356273651,0.4059295356273651,0.36916112899780273,0.36916112899780273
36,0.40496641397476196,0.40496641397476196,0.35142502188682556,0.35142502188682556
37,0.3814988136291504,0.3814988136291504,0.342782586812973,0.342782586812973
38,0.37425321340560913,0.37425321340560913,0.3485400378704071,0.3485400378704071
