,Proxy - Low Noise,Proxy - Medium Noise,Proxy - High Noise
Training Error,0.060162992754044124,0.1865702966802058,0.7539517077409218
Test Error,0.09357273440851525,0.21270057127117972,0.7848867724319976
True Error,0.05506418736904564,0.07178007790624184,0.20578284661533564
Training Error SE,0.05043240198185168,0.010919380781561266,0.09541478802441442
Test Error SE,0.045029272153850435,0.0077294115995236445,0.031414468225836434
True Error SE,0.04924341992745571,0.005157033514934404,0.025751365753786944
