,Proxy - Low Noise,Proxy - Medium Noise,Proxy - High Noise
Training Error,0.08708939427534165,0.19174498337697984,0.6482542852250432
Test Error,0.0935000203695035,0.20027968769354504,0.6475090107369706
True Error,0.07443018643758474,0.07480922130634969,0.07967232867685362
Training Error SE,0.004004361998442883,0.004727350061641502,0.052676046772264284
Test Error SE,0.0047119084502251765,0.007479229067612272,0.04551827963722034
True Error SE,0.004004496149908952,0.003398009541894223,0.050402120444375344
