epoch,loss,mean_squared_error
0,0.9889758229255676,0.9889758229255676
1,0.8061955571174622,0.8061955571174622
2,0.3250364065170288,0.3250364065170288
3,0.18789978325366974,0.18789978325366974
4,0.1573575735092163,0.1573575735092163
5,0.13393622636795044,0.13393622636795044
6,0.1297881007194519,0.1297881007194519
7,0.12731745839118958,0.12731745839118958
8,0.12702032923698425,0.12702032923698425
9,0.12708154320716858,0.12708154320716858
10,0.12671077251434326,0.12671077251434326
11,0.1256255954504013,0.1256255954504013
12,0.12334735691547394,0.12334735691547394
13,0.12203551083803177,0.12203551083803177
14,0.12198983877897263,0.12198983877897263
15,0.1215624287724495,0.1215624287724495
16,0.12242723256349564,0.12242723256349564
17,0.12945516407489777,0.12945516407489777
18,0.12545040249824524,0.12545040249824524
19,0.12288566678762436,0.12288566678762436
20,0.11812365800142288,0.11812365800142288
21,0.11935503035783768,0.11935503035783768
22,0.11841204017400742,0.11841204017400742
23,0.11322873085737228,0.11322873085737228
24,0.1127365380525589,0.1127365380525589
25,0.11837898939847946,0.11837898939847946
26,0.11434555053710938,0.11434555053710938
27,0.11250697076320648,0.11250697076320648
28,0.10766302049160004,0.10766302049160004
29,0.10768163949251175,0.10768163949251175
30,0.10329689830541611,0.10329689830541611
31,0.10155656933784485,0.10155656933784485
32,0.09860886633396149,0.09860886633396149
33,0.09012071788311005,0.09012071788311005
34,0.08217617869377136,0.08217617869377136
35,0.0769822895526886,0.0769822895526886
36,0.06831394135951996,0.06831394135951996
37,0.06231124326586723,0.06231124326586723
38,0.06456031650304794,0.06456031650304794
39,0.058516088873147964,0.058516088873147964
40,0.05792130529880524,0.05792130529880524
41,0.05823595076799393,0.05823595076799393
42,0.05420533940196037,0.05420533940196037
43,0.056865375488996506,0.056865375488996506
44,0.05298805236816406,0.05298805236816406
45,0.053198762238025665,0.053198762238025665
46,0.04855211079120636,0.04855211079120636
47,0.04851333051919937,0.04851333051919937
48,0.048311326652765274,0.048311326652765274
49,0.048895616084337234,0.048895616084337234
50,0.047601088881492615,0.047601088881492615
51,0.046044860035181046,0.046044860035181046
52,0.04644398391246796,0.04644398391246796
53,0.04367293044924736,0.04367293044924736
54,0.04606489837169647,0.04606489837169647
55,0.04438355192542076,0.04438355192542076
56,0.043971747159957886,0.043971747159957886
57,0.04415859654545784,0.04415859654545784
58,0.046339377760887146,0.046339377760887146
59,0.044636283069849014,0.044636283069849014
60,0.044193316251039505,0.044193316251039505
61,0.043886806815862656,0.043886806815862656
62,0.04174503684043884,0.04174503684043884
63,0.04269469156861305,0.04269469156861305
0,0.9835413098335266,0.9835413098335266
1,0.7808660864830017,0.7808660864830017
2,0.29956910014152527,0.29956910014152527
3,0.1690099537372589,0.1690099537372589
4,0.1440294235944748,0.1440294235944748
5,0.12923617660999298,0.12923617660999298
6,0.12401292473077774,0.12401292473077774
7,0.12197389453649521,0.12197389453649521
8,0.12411155551671982,0.12411155551671982
9,0.12382301688194275,0.12382301688194275
10,0.11670904606580734,0.11670904606580734
11,0.11492282152175903,0.11492282152175903
12,0.11659295111894608,0.11659295111894608
13,0.11699077486991882,0.11699077486991882
14,0.11508535593748093,0.11508535593748093
15,0.11177730560302734,0.11177730560302734
16,0.10977709293365479,0.10977709293365479
17,0.10634112358093262,0.10634112358093262
18,0.10484056919813156,0.10484056919813156
19,0.10828103870153427,0.10828103870153427
20,0.10405239462852478,0.10405239462852478
21,0.08866604417562485,0.08866604417562485
22,0.08157645910978317,0.08157645910978317
23,0.07030528038740158,0.07030528038740158
24,0.06092086061835289,0.06092086061835289
25,0.056041866540908813,0.056041866540908813
26,0.049973223358392715,0.049973223358392715
27,0.053863152861595154,0.053863152861595154
28,0.05563134700059891,0.05563134700059891
29,0.05313946679234505,0.05313946679234505
30,0.05304122716188431,0.05304122716188431
31,0.04692498594522476,0.04692498594522476
32,0.04951639473438263,0.04951639473438263
33,0.04771650210022926,0.04771650210022926
34,0.0452626496553421,0.0452626496553421
35,0.04816973954439163,0.04816973954439163
36,0.047812413424253464,0.047812413424253464
37,0.0480295829474926,0.0480295829474926
38,0.045209940522909164,0.045209940522909164
39,0.04780507832765579,0.04780507832765579
40,0.047857265919446945,0.047857265919446945
41,0.045539677143096924,0.045539677143096924
42,0.045913174748420715,0.045913174748420715
43,0.045977938920259476,0.045977938920259476
44,0.04432786628603935,0.04432786628603935
45,0.044814758002758026,0.044814758002758026
46,0.0454532615840435,0.0454532615840435
47,0.0452633872628212,0.0452633872628212
48,0.049070682376623154,0.049070682376623154
49,0.04869236797094345,0.04869236797094345
50,0.04585534334182739,0.04585534334182739
51,0.043622080236673355,0.043622080236673355
52,0.045634325593709946,0.045634325593709946
53,0.04905882850289345,0.04905882850289345
54,0.049744170159101486,0.049744170159101486
55,0.0515492744743824,0.0515492744743824
56,0.05182250589132309,0.05182250589132309
57,0.04742734879255295,0.04742734879255295
58,0.042744919657707214,0.042744919657707214
59,0.04538904130458832,0.04538904130458832
60,0.04263366013765335,0.04263366013765335
61,0.04341405630111694,0.04341405630111694
62,0.04846673458814621,0.04846673458814621
63,0.05002621188759804,0.05002621188759804
64,0.05399327725172043,0.05399327725172043
65,0.041885919868946075,0.041885919868946075
66,0.043391451239585876,0.043391451239585876
67,0.04483755677938461,0.04483755677938461
68,0.0426250696182251,0.0426250696182251
69,0.04505961760878563,0.04505961760878563
70,0.045049380511045456,0.045049380511045456
71,0.04422987252473831,0.04422987252473831
72,0.04170527681708336,0.04170527681708336
