0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7552,0.8112,0.8036,0.8204,0.8072,0.808,0.8188,0.344,0.812,0.8264,0.8212,0.818,0.8132,0.8056,0.8156,0.8108,0.8036,0.8156,0.8168,0.816,0.8224,0.8196,0.8004,0.818,0.808,0.8168,0.8064,0.8204,0.8136,0.8148,0.7148,0.8248,0.8104,0.8308,0.8088,0.816,0.8144,0.7976,0.8196,0.8108,0.8268,0.8164,0.812,0.8148,0.8136,0.8136,0.8164,0.834,0.8236,0.804
0.7932,0.8528,0.8396,0.8628,0.8436,0.8528,0.8632,0.3796,0.8512,0.8652,0.8576,0.8572,0.8528,0.8464,0.8536,0.8492,0.8456,0.8552,0.856,0.8564,0.862,0.8588,0.8416,0.8548,0.8504,0.862,0.8436,0.8616,0.8552,0.8588,0.7452,0.864,0.8544,0.8652,0.8484,0.8536,0.8544,0.8376,0.858,0.8508,0.868,0.8584,0.8536,0.8604,0.8532,0.8512,0.858,0.87,0.8632,0.8472
0.832,0.8848,0.874,0.8916,0.8772,0.882,0.8948,0.4208,0.882,0.894,0.8896,0.8872,0.8836,0.8852,0.8828,0.8848,0.8788,0.8888,0.8804,0.8888,0.896,0.894,0.8748,0.8896,0.882,0.8944,0.8764,0.8976,0.8896,0.894,0.7752,0.892,0.8864,0.8976,0.8844,0.8836,0.8852,0.8696,0.8904,0.8804,0.902,0.8908,0.884,0.8908,0.8908,0.8896,0.8864,0.9004,0.8964,0.882
0.8612,0.9104,0.9028,0.9188,0.9032,0.9144,0.9196,0.46,0.9064,0.9176,0.9148,0.9112,0.9092,0.9148,0.9084,0.9136,0.9068,0.9156,0.9068,0.9168,0.9244,0.9188,0.902,0.9136,0.9124,0.918,0.9076,0.9208,0.9204,0.9192,0.8028,0.9208,0.9076,0.9212,0.912,0.9104,0.9148,0.898,0.9152,0.9104,0.9272,0.9156,0.9032,0.9136,0.9188,0.9148,0.9144,0.9252,0.9208,0.9088
0.888,0.9348,0.9288,0.9424,0.9292,0.9332,0.9416,0.4936,0.9264,0.9392,0.9384,0.93,0.93,0.9364,0.9324,0.9356,0.9264,0.9348,0.9272,0.936,0.946,0.9416,0.926,0.9324,0.93,0.9408,0.9312,0.9404,0.9404,0.942,0.8252,0.9388,0.9272,0.9428,0.9292,0.9304,0.9304,0.9196,0.9372,0.9296,0.9444,0.9392,0.9248,0.9324,0.94,0.9372,0.9388,0.9432,0.9432,0.9276
0.9036,0.9508,0.9448,0.9564,0.9452,0.9452,0.9584,0.5228,0.9428,0.9548,0.9516,0.9496,0.95,0.95,0.9512,0.9528,0.9408,0.9528,0.9476,0.9512,0.9596,0.954,0.9424,0.9448,0.9516,0.9548,0.9468,0.9556,0.9596,0.9544,0.8552,0.9572,0.9432,0.9588,0.9504,0.9472,0.9456,0.9312,0.9536,0.9468,0.9556,0.9548,0.9456,0.948,0.9564,0.952,0.9528,0.96,0.9576,0.944
0.92,0.9624,0.9592,0.964,0.9584,0.9568,0.9684,0.5532,0.9568,0.9676,0.9656,0.9636,0.9608,0.9596,0.9628,0.9612,0.9552,0.9612,0.9608,0.9656,0.9688,0.9652,0.9544,0.9576,0.9656,0.9672,0.9564,0.9648,0.9728,0.9624,0.876,0.968,0.9564,0.9688,0.9624,0.9592,0.9612,0.9492,0.9628,0.9572,0.9696,0.9688,0.9572,0.96,0.9656,0.9668,0.964,0.97,0.9684,0.9564
0.9344,0.972,0.9708,0.9736,0.9696,0.9672,0.9764,0.5792,0.9688,0.9764,0.9748,0.9704,0.9708,0.9692,0.974,0.9744,0.9668,0.9724,0.9712,0.9744,0.9776,0.976,0.966,0.9672,0.9756,0.9772,0.9668,0.9736,0.9784,0.9728,0.8936,0.9784,0.966,0.976,0.9716,0.9684,0.9688,0.9628,0.9708,0.968,0.9772,0.9796,0.9664,0.9692,0.9708,0.9736,0.9732,0.9752,0.978,0.97
0.946,0.9772,0.9772,0.9804,0.978,0.976,0.9836,0.6096,0.9756,0.9824,0.9808,0.9756,0.9764,0.9792,0.982,0.9812,0.9744,0.9784,0.9772,0.9804,0.9832,0.9824,0.9728,0.9764,0.98,0.982,0.9736,0.9776,0.9836,0.9792,0.9064,0.9844,0.9732,0.9812,0.9788,0.9744,0.9772,0.97,0.9776,0.9752,0.9844,0.9848,0.9732,0.978,0.9792,0.9792,0.978,0.982,0.9836,0.9756
0.9552,0.9816,0.9848,0.9868,0.982,0.9808,0.9876,0.632,0.9816,0.9872,0.9844,0.9808,0.9828,0.9844,0.9872,0.9852,0.982,0.9852,0.9804,0.9868,0.9888,0.986,0.9784,0.9832,0.9832,0.9848,0.9768,0.9828,0.99,0.9828,0.9204,0.9872,0.9784,0.9864,0.9828,0.9804,0.982,0.9784,0.9832,0.9816,0.9876,0.99,0.982,0.984,0.9832,0.9828,0.9848,0.984,0.988,0.982
0.964,0.9848,0.9892,0.9904,0.9876,0.9844,0.9916,0.656,0.9856,0.9904,0.9876,0.9856,0.9872,0.9884,0.9908,0.988,0.9864,0.9876,0.986,0.9896,0.9908,0.988,0.984,0.9892,0.9876,0.9876,0.9812,0.9856,0.994,0.9848,0.9304,0.99,0.9832,0.9904,0.9872,0.9856,0.9868,0.984,0.988,0.9848,0.9896,0.9924,0.9848,0.9868,0.9872,0.988,0.9896,0.9888,0.9896,0.9868
0.9692,0.9876,0.99,0.9944,0.9896,0.9872,0.9932,0.674,0.99,0.9928,0.9912,0.9892,0.9888,0.9904,0.994,0.9904,0.9892,0.9904,0.9916,0.9912,0.9924,0.9904,0.988,0.992,0.99,0.9908,0.9836,0.9892,0.9944,0.9888,0.942,0.994,0.9864,0.9924,0.9912,0.9884,0.9888,0.9868,0.992,0.988,0.9916,0.9932,0.9872,0.9892,0.9912,0.9904,0.992,0.9904,0.992,0.9896
0.9756,0.9908,0.9928,0.9952,0.9928,0.9916,0.9936,0.6952,0.9928,0.9932,0.9944,0.9904,0.9908,0.994,0.9948,0.9928,0.9912,0.992,0.9936,0.9924,0.9944,0.9924,0.9908,0.994,0.9936,0.9928,0.9892,0.9912,0.9964,0.9916,0.9476,0.996,0.9888,0.9936,0.9936,0.99,0.992,0.9892,0.9936,0.99,0.9936,0.9952,0.9904,0.9916,0.9928,0.9928,0.9936,0.9932,0.9932,0.9912
0.9812,0.9924,0.9936,0.996,0.9952,0.9932,0.996,0.7092,0.9944,0.9952,0.9956,0.9928,0.9928,0.9948,0.9968,0.9952,0.9932,0.9948,0.9952,0.9944,0.9952,0.9948,0.9924,0.9952,0.9952,0.9944,0.9904,0.9928,0.9972,0.992,0.9536,0.9972,0.99,0.996,0.9952,0.9936,0.9936,0.9904,0.9956,0.9916,0.9948,0.9976,0.992,0.9936,0.9948,0.9952,0.994,0.9948,0.9952,0.9928
0.9852,0.9944,0.994,0.9964,0.9952,0.994,0.9968,0.724,0.996,0.9964,0.996,0.994,0.9948,0.9956,0.9976,0.996,0.9948,0.9956,0.996,0.996,0.9972,0.996,0.994,0.9952,0.996,0.9948,0.992,0.9944,0.9976,0.9932,0.9596,0.9976,0.992,0.9964,0.996,0.9944,0.9952,0.9932,0.9972,0.9924,0.996,0.998,0.9936,0.994,0.9964,0.9964,0.9944,0.9956,0.9964,0.9952
0.9872,0.9956,0.9956,0.9964,0.9956,0.9948,0.9976,0.7364,0.996,0.9968,0.9968,0.996,0.9968,0.9968,0.9976,0.9972,0.996,0.9968,0.9964,0.9972,0.9988,0.9972,0.9956,0.9968,0.9968,0.9968,0.9944,0.9944,0.9976,0.9944,0.9656,0.9984,0.994,0.9968,0.9968,0.9956,0.9952,0.9944,0.9976,0.994,0.9972,0.9988,0.9952,0.9952,0.998,0.9976,0.9964,0.9972,0.9988,0.9956
0.9884,0.9964,0.996,0.9976,0.9968,0.9956,0.998,0.752,0.9968,0.9968,0.9972,0.9964,0.9972,0.998,0.9976,0.9976,0.9968,0.9972,0.9976,0.9988,0.9992,0.9976,0.9968,0.9972,0.9976,0.9972,0.9956,0.9956,0.9976,0.9952,0.9688,0.9988,0.9952,0.9976,0.9968,0.9964,0.9952,0.9956,0.9984,0.9956,0.9976,0.9992,0.9964,0.9968,0.9984,0.9988,0.9968,0.9984,0.9988,0.9972
0.9916,0.9972,0.9976,0.9988,0.9976,0.9964,0.9988,0.7648,0.9972,0.9968,0.998,0.9968,0.9976,0.998,0.9984,0.9984,0.9968,0.9984,0.9976,0.9992,0.9992,0.9984,0.9976,0.9972,0.9984,0.9972,0.9956,0.9964,0.9976,0.996,0.974,0.9992,0.9956,0.9984,0.9976,0.9968,0.996,0.9964,0.9992,0.996,0.9976,0.9992,0.9972,0.9976,0.9992,0.9988,0.9976,0.9984,0.9992,0.9976
0.9928,0.998,0.998,0.9988,0.9984,0.9968,0.9988,0.7768,0.998,0.9976,0.9984,0.9968,0.9984,0.9984,0.9984,0.9988,0.998,0.9988,0.9984,0.9996,0.9992,0.9988,0.9976,0.9976,0.9992,0.9976,0.996,0.9964,0.9976,0.9976,0.9772,0.9996,0.9972,0.9984,0.9976,0.9972,0.9972,0.9976,0.9996,0.9972,0.998,0.9992,0.9976,0.9988,0.9992,0.9992,0.9988,0.9984,0.9996,0.998
