,Optimal k
798,200
799,200
800,200
801,178
802,200
803,200
804,156
805,200
806,200
807,200
808,113
809,200
810,200
811,200
812,200
813,200
814,178
815,200
816,200
817,200
818,200
819,200
820,200
821,200
822,178
823,178
824,200
825,200
826,200
827,178
828,178
829,200
830,200
831,178
832,200
833,200
834,178
835,200
836,200
837,156
838,200
839,200
840,200
841,200
842,200
843,200
844,200
845,200
846,200
847,200
848,178
849,200
850,200
851,200
852,200
853,200
854,200
855,200
856,178
857,200
858,200
859,200
860,200
861,156
862,200
863,156
864,200
865,200
866,178
867,135
868,200
869,178
870,200
871,200
872,200
873,200
874,200
875,178
876,200
877,178
878,200
879,200
880,113
881,200
882,200
883,200
884,200
885,200
886,200
887,200
888,200
889,200
890,178
891,200
892,200
893,200
894,200
895,200
896,200
897,200
898,200
899,200
900,200
901,178
902,200
903,200
904,178
905,200
906,200
907,156
908,200
909,200
910,200
911,200
912,200
913,200
914,200
915,200
916,200
917,200
918,200
919,135
920,113
921,178
922,200
923,200
924,200
925,178
926,200
927,200
928,156
929,200
930,200
931,178
932,178
933,200
934,200
935,178
936,200
937,178
938,200
939,200
940,200
941,200
942,178
943,200
944,200
945,200
946,178
947,200
948,200
949,200
950,178
951,200
952,200
953,178
954,200
955,178
956,200
957,200
958,200
959,200
960,200
961,200
962,113
963,200
964,200
965,178
966,200
967,200
968,200
969,156
970,178
971,200
972,200
973,200
974,200
975,200
976,156
977,200
978,200
979,200
980,156
981,178
982,200
983,200
984,200
985,200
986,200
987,178
988,156
989,200
990,200
991,178
992,200
993,200
994,200
995,200
996,200
997,178
998,200
999,178
