,Optimal k
798,135
799,156
800,113
801,113
802,113
803,156
804,178
805,70
806,91
807,156
808,113
809,113
810,113
811,135
812,135
813,113
814,91
815,113
816,135
817,113
818,113
819,135
820,113
821,178
822,135
823,156
824,135
825,135
826,48
827,135
828,91
829,156
830,91
831,113
832,113
833,135
834,200
835,91
836,135
837,156
838,135
839,135
840,156
841,113
842,156
843,135
844,113
845,156
846,113
847,113
848,156
849,113
850,156
851,135
852,113
853,156
854,156
855,113
856,113
857,135
858,113
859,113
860,156
861,113
862,113
863,178
864,91
865,156
866,135
867,135
868,200
869,135
870,135
871,70
872,135
873,113
874,135
875,135
876,113
877,135
878,70
879,135
880,135
881,113
882,113
883,91
884,156
885,200
886,156
887,135
888,156
889,91
890,178
891,178
892,156
893,156
894,135
895,91
896,91
897,91
898,135
899,135
900,156
901,113
902,113
903,113
904,113
905,91
906,113
907,156
908,135
909,178
910,91
911,135
912,113
913,113
914,200
915,113
916,113
917,135
918,91
919,135
920,113
921,156
922,113
923,156
924,135
925,178
926,113
927,113
928,178
929,70
930,135
931,113
932,156
933,156
934,156
935,178
936,113
937,135
938,156
939,113
940,113
941,156
942,113
943,70
944,113
945,91
946,113
947,156
948,113
949,156
950,178
951,156
952,178
953,91
954,135
955,156
956,91
957,156
958,178
959,178
960,178
961,156
962,91
963,135
964,178
965,156
966,156
967,156
968,113
969,113
970,113
971,113
972,200
973,91
974,135
975,91
976,91
977,200
978,91
979,113
980,178
981,135
982,135
983,135
984,156
985,113
986,156
987,156
988,91
989,156
990,113
991,70
992,135
993,113
994,70
995,135
996,156
997,91
998,135
999,156
