,Optimal k
0,156
1,200
2,200
3,156
4,200
5,200
6,178
7,178
8,200
9,200
10,200
11,200
12,178
13,200
14,200
15,200
16,200
17,200
18,200
19,113
20,156
21,200
22,156
23,200
24,200
25,200
26,178
27,156
28,200
29,135
30,200
31,178
32,200
33,200
34,200
35,135
36,178
37,200
38,200
39,178
40,178
41,178
42,200
43,178
44,178
45,178
46,156
47,178
48,200
49,200
50,200
51,135
52,156
53,200
54,200
55,135
56,156
57,156
58,135
59,200
60,156
61,200
62,200
63,178
64,156
65,200
66,200
67,178
68,200
69,200
70,135
71,200
72,156
73,135
74,178
75,200
76,200
77,200
78,113
79,178
80,200
81,200
82,200
83,200
84,200
85,200
86,200
87,200
88,135
89,200
90,178
91,156
92,200
93,200
94,200
95,200
96,156
97,156
98,113
99,156
100,200
101,200
102,178
103,156
104,200
105,178
106,200
107,156
108,178
109,178
110,178
111,200
112,178
113,200
114,200
115,200
116,200
117,178
118,200
119,200
120,200
121,200
122,156
123,200
124,156
125,156
126,200
127,178
128,200
129,178
130,200
131,156
132,178
133,156
134,178
135,200
136,200
137,113
138,178
139,135
140,135
141,200
142,200
143,178
144,178
145,91
146,156
147,200
148,200
149,156
150,178
151,200
152,200
153,156
154,135
155,156
156,200
157,156
158,200
159,178
160,135
161,178
162,178
163,135
164,178
165,178
166,156
167,200
168,178
169,200
170,200
171,178
172,200
173,135
174,200
175,200
176,156
177,156
178,200
179,200
180,200
181,156
182,178
183,200
184,135
185,200
186,200
187,200
188,200
189,178
190,200
191,200
192,178
193,200
194,200
195,200
196,156
197,200
198,113
199,135
200,200
201,156
202,178
203,113
204,178
205,178
206,200
207,135
208,178
209,200
210,156
211,156
212,200
213,135
214,200
215,156
216,113
217,178
218,178
219,200
220,200
221,135
222,113
223,200
224,200
225,200
226,200
227,200
228,178
229,200
230,200
231,156
232,178
233,178
234,178
235,113
236,200
237,200
238,200
239,178
240,156
241,200
242,200
243,135
244,178
245,135
246,200
247,200
248,178
249,156
250,156
251,156
252,135
253,156
254,178
255,113
256,156
257,200
258,200
259,200
260,178
261,156
262,200
263,200
264,178
265,135
266,113
267,113
268,200
269,200
270,178
271,200
272,156
273,135
274,200
275,200
276,200
277,200
278,178
279,200
280,178
281,200
282,178
283,135
284,200
285,200
286,200
287,200
288,200
289,178
290,178
291,200
