,Optimal k
292,200
293,200
294,200
295,200
296,178
297,156
298,200
299,200
300,178
301,200
302,178
303,178
304,156
305,178
306,200
307,200
308,200
309,200
310,178
311,200
312,70
313,200
314,200
315,178
316,200
317,156
318,200
319,178
320,200
321,200
322,178
323,200
324,178
325,200
326,200
327,200
328,200
329,200
330,200
331,178
332,200
333,178
334,200
335,200
336,200
337,91
338,178
339,200
340,200
341,178
342,156
343,200
344,200
345,156
346,178
347,200
348,178
349,200
350,178
351,200
352,200
353,200
354,156
355,200
356,200
357,135
358,156
359,178
360,135
361,200
362,200
363,200
364,200
365,200
366,200
367,178
368,135
369,178
370,200
371,178
372,178
373,200
374,200
375,200
376,200
377,200
378,178
379,200
380,200
381,200
382,135
383,178
384,200
385,113
386,135
387,178
388,200
389,135
390,200
391,200
392,200
393,178
394,200
395,178
396,200
397,200
398,200
399,113
400,200
401,200
402,200
403,178
404,156
405,200
406,156
407,200
408,200
409,200
410,178
411,156
412,135
413,200
414,200
415,200
416,135
417,200
418,178
419,200
420,178
421,200
422,200
423,200
424,200
425,200
426,200
427,178
428,178
429,156
430,156
431,156
432,135
433,178
434,156
435,156
436,200
437,156
438,135
439,200
440,178
441,156
442,200
443,178
444,178
445,200
446,200
447,200
448,200
449,156
450,156
451,200
452,200
453,156
454,200
455,200
456,135
457,200
458,178
459,178
460,178
461,200
462,200
463,156
464,200
465,135
466,200
467,200
468,200
469,178
470,156
471,156
472,156
473,156
474,200
475,200
476,200
477,200
478,200
479,200
480,200
481,135
482,200
483,200
484,156
485,156
486,178
487,178
488,200
489,200
490,200
491,156
492,178
493,200
494,135
495,200
496,200
497,200
498,178
499,178
500,200
501,113
502,200
503,135
504,200
505,200
506,135
507,200
508,200
509,156
510,200
511,156
512,178
513,200
514,200
515,156
516,200
517,178
518,156
519,200
520,178
521,200
522,178
523,200
524,200
525,200
526,135
527,135
528,200
529,200
530,156
531,178
532,200
533,178
534,200
535,178
536,200
537,200
538,200
539,200
540,200
541,156
542,200
543,200
544,178
545,200
546,135
547,91
548,156
549,200
550,200
551,200
552,156
553,113
554,200
555,200
556,156
557,178
558,178
559,178
560,178
561,200
562,135
563,200
564,156
565,200
566,156
567,178
568,200
569,156
570,200
571,156
572,178
573,200
574,156
575,178
576,200
577,200
578,178
579,178
580,156
581,156
582,200
583,200
584,156
585,200
586,178
587,200
588,200
589,156
590,135
591,156
592,200
593,200
594,200
595,200
596,156
597,200
598,200
599,113
600,178
601,156
602,135
603,200
604,135
605,156
606,135
607,135
608,200
609,135
610,200
611,178
612,200
613,200
614,156
615,200
616,156
617,200
618,156
619,200
620,200
621,178
622,156
623,200
624,178
625,200
626,200
627,200
628,178
629,200
630,200
631,178
632,178
633,135
634,178
635,113
636,200
637,156
638,200
639,200
640,156
641,178
642,200
643,200
644,135
645,200
646,178
647,200
648,178
649,200
650,178
651,200
652,135
653,200
654,200
655,200
656,200
657,200
658,178
659,200
660,200
661,200
662,200
663,200
664,156
665,200
666,156
667,178
668,156
669,200
670,156
671,178
672,200
673,135
674,178
675,200
676,178
677,91
678,113
679,178
680,156
681,113
682,200
683,178
684,156
685,156
686,200
687,200
688,200
689,200
690,178
691,178
692,178
693,156
694,200
695,178
696,135
697,200
698,200
699,178
700,113
701,200
702,200
703,178
704,178
705,178
706,156
707,135
708,178
709,200
710,200
711,200
712,113
713,178
714,200
715,113
716,156
717,178
718,200
719,200
720,135
721,135
722,178
723,113
724,200
725,156
726,200
727,200
728,200
729,178
730,200
731,156
732,200
733,91
734,156
735,156
736,200
737,200
738,200
739,200
740,200
741,135
742,178
743,178
744,178
745,200
746,200
747,200
748,200
749,135
750,200
751,178
752,200
753,200
754,135
755,156
756,200
757,156
758,156
759,200
760,178
761,178
762,178
763,178
764,178
765,200
766,178
767,178
768,135
769,156
770,135
771,200
772,178
773,200
774,200
775,200
776,91
777,200
778,200
779,200
780,200
781,156
782,200
783,200
784,178
785,200
786,113
787,200
788,200
789,135
790,200
791,200
792,113
793,200
794,113
795,178
796,200
797,200
798,113
799,178
800,200
801,113
802,200
803,156
804,156
805,113
806,200
807,178
808,200
809,156
810,135
811,200
812,178
813,200
814,200
815,200
816,156
817,156
818,200
819,178
820,200
821,178
822,178
823,200
824,113
825,200
826,156
827,200
828,135
829,135
830,200
831,200
832,200
833,200
834,135
835,113
836,200
837,200
838,178
839,156
840,200
841,178
842,200
843,135
844,200
845,135
846,135
847,200
848,200
849,200
850,156
851,135
852,200
853,200
854,178
855,156
856,178
857,200
858,135
859,200
860,200
861,200
862,200
863,200
864,156
865,200
866,156
867,135
868,200
869,156
870,91
871,135
872,113
873,178
874,200
875,200
876,200
877,200
878,178
879,113
880,200
881,200
882,156
883,156
884,200
885,178
886,156
887,113
888,178
889,178
890,156
891,200
892,178
893,156
894,200
895,200
896,200
897,200
898,178
899,200
900,178
901,178
902,156
903,200
904,200
905,178
906,156
907,178
908,200
909,135
910,200
911,200
912,135
913,200
914,113
915,156
916,200
917,200
918,200
919,200
920,178
921,156
922,200
923,200
924,178
925,200
926,178
927,200
928,135
929,200
930,200
931,200
932,178
933,200
934,200
935,178
936,156
937,200
938,156
939,200
940,178
941,156
942,135
943,178
944,200
945,178
946,200
947,135
948,178
949,178
950,156
951,200
952,200
953,200
954,135
955,200
956,135
957,178
958,200
959,200
960,156
961,200
962,200
963,200
964,135
965,200
966,156
967,178
968,178
969,200
970,135
971,156
972,156
973,178
974,135
975,200
976,156
977,178
978,178
979,135
980,91
981,135
982,200
983,156
984,200
985,178
986,200
987,178
988,135
989,200
990,178
991,200
992,178
993,178
994,200
995,178
996,200
997,135
998,178
999,200
