,indicator,hockeyStick,quadratic,VaR_0.8,CVaR_0.8,VaR_0.9,CVaR_0.9,VaR_0.95,CVaR_0.95,VaR_0.99,CVaR_0.99,VaR_0.996,CVaR_0.996
0,0.1025,0.5810915717665625,401.9755230013349,10.306684997158268,16.733725845560777,15.451530042204961,21.034714367522998,19.710936629473686,24.419443819953678,26.7488354296567,26.748835429656697,26.7488354296567,26.748835429656697
1,0.1008,0.5827001283636765,392.13198589755154,9.962932200541221,16.82465771467658,15.35828092377099,21.053014576730472,19.877066860239665,24.375452060274082,26.7488354296567,26.748835429656697,26.7488354296567,26.748835429656697
2,0.0918,0.4906945471380248,392.96188420653283,9.521367359011379,15.913619792708527,14.743215717133777,20.114742230509382,19.322586554869584,23.561976497907388,26.68621153555533,26.745348061998282,26.7488354296567,26.74883542965669
3,0.1131,0.6129983714344482,397.34490637815327,9.872138836555592,16.988933979291115,16.39643538236509,21.28753038412176,19.91419082003931,24.41744070243944,26.7488354296567,26.748835429656697,26.7488354296567,26.748835429656697
4,0.0972,0.5732041261065166,391.7095207413046,9.485093019100646,16.511097576374013,15.086706821025658,20.95666853627966,19.846272928262195,24.444380204462355,26.7488354296567,26.748835429656697,26.7488354296567,26.748835429656697
5,0.1069,0.5488415025158937,398.01234542301853,9.99021514100454,16.786197917959424,15.669620034988366,20.699816197761585,19.299012490683687,24.10920201582558,26.7488354296567,26.7488354296567,26.7488354296567,26.7488354296567
6,0.0918,0.5499401680688732,384.75112743795347,10.4245607192254,16.63041931433643,14.663167667796955,20.700879027817503,19.49854749628212,24.362966448746363,26.7488354296567,26.748835429656694,26.7488354296567,26.748835429656694
7,0.1067,0.5659592252651089,398.7013291484909,9.698196004226105,16.763624343344024,16.24426356556355,20.85435887467069,19.26536073866422,23.69887390442427,26.7488354296567,26.748835429656705,26.7488354296567,26.748835429656705
8,0.1072,0.5584756653363777,381.85153547805663,10.1625793611278,16.695916520404424,16.00727732626971,20.78229911268896,19.597760872079277,23.4978441049574,26.7488354296567,26.748835429656697,26.7488354296567,26.748835429656697
9,0.1019,0.5706409917512396,400.0534608330928,9.459349830819974,16.568891904071066,15.360472444936383,20.932143898774513,19.913913273404578,24.45420871469702,26.7488354296567,26.748835429656697,26.7488354296567,26.748835429656697
10,0.0965,0.5204423272162101,401.31654386896133,9.720944975045484,16.227442994792728,14.93661820061921,20.426566442775524,19.31479900301583,23.965577396559304,26.7488354296567,26.748835429656697,26.7488354296567,26.748835429656697
11,0.0979,0.5705115015058024,382.32070336532786,9.738363628175733,16.555824156763123,14.83006198114426,20.92689339503263,20.49115408411408,24.31207592832158,26.7488354296567,26.748835429656705,26.7488354296567,26.748835429656705
12,0.1032,0.5595732020047535,386.2500824947794,9.293190187652996,16.435225869505526,15.514881460795308,20.818679336746097,19.92511779563754,24.057334638870625,26.7488354296567,26.748835429656708,26.7488354296567,26.748835429656708
13,0.1004,0.5002626646301407,386.58972568309514,10.188457868534936,16.47738372768288,15.252377173797068,20.230083115277818,19.285554709769407,23.527090113473,26.7488354296567,26.748835429656705,26.7488354296567,26.748835429656705
14,0.0982,0.573363060947609,392.9054723231594,10.289327929797281,16.5930813805802,14.991434436156876,20.957951913149717,20.625720106079775,24.433131088965048,26.7488354296567,26.748835429656697,26.7488354296567,26.748835429656697
15,0.1022,0.5761383941926352,385.07393796398884,10.37085346301005,16.86635557467475,15.420688512156543,20.985813469304432,19.464288125705604,24.41866119431117,26.7488354296567,26.748835429656697,26.7488354296567,26.748835429656697
16,0.1086,0.5932766143860684,388.7275071078994,10.029455865256004,16.83243380781669,15.82996808756316,21.134404517206807,20.77010375067398,24.333859212592674,26.7488354296567,26.748835429656697,26.7488354296567,26.748835429656697
17,0.0912,0.5042415664320729,376.0332307057313,9.923899167657343,16.17131235020512,14.485075908820264,20.244095353589394,19.44586872067996,23.708305531843397,26.7488354296567,26.748835429656705,26.7488354296567,26.748835429656705
18,0.1025,0.5832892614063523,388.2309672315617,9.819804627944926,16.65590039068711,15.587179838316219,21.055616196185532,19.811006876438363,24.23947164679765,26.7488354296567,26.748835429656694,26.7488354296567,26.748835429656694
19,0.0963,0.5186520192131224,405.1032594976357,10.395579469803643,16.552265441792507,15.087688688067631,20.41091890657572,19.169066239955868,23.999452893893036,26.7488354296567,26.748835429656697,26.7488354296567,26.748835429656697
