,1000,2000
0,0.44558433545177484,0.3101396459661352
1,0.729971687975374,0.4988914774714833
2,0.218365250108873,0.13820033059504733
3,0.22885132058428517,0.15655276482124994
4,0.16553654360186248,0.11498684418556099
5,0.1789623568490375,0.12456307988500857
6,0.1727415561041535,0.12138307560450966
7,0.17393377413249306,0.1248335075066858
8,0.19582290104191433,0.13740144005535151
9,0.22404271732680048,0.16280491072110093
10,0.29752485426238057,0.19952197620847065
11,0.2732639886744536,0.19947767419226806
12,0.39712544566861857,0.24986203860807027
