epoch,loss,mean_squared_error,val_loss,val_mean_squared_error
0,1.85874605178833,1.85874605178833,1.6055423021316528,1.6055423021316528
1,1.6872671842575073,1.6872671842575073,1.4646375179290771,1.4646375179290771
2,1.5212804079055786,1.5212804079055786,1.3452138900756836,1.3452138900756836
3,1.4000673294067383,1.4000673294067383,1.2424346208572388,1.2424346208572388
4,1.2658649682998657,1.2658649682998657,1.1571459770202637,1.1571459770202637
0,6.669070243835449,6.669070243835449,5.09202766418457,5.09202766418457
1,5.168404579162598,5.168404579162598,4.178144454956055,4.178144454956055
2,4.162755012512207,4.162755012512207,3.559771776199341,3.559771776199341
0,6.643368721008301,6.643368721008301,5.091375827789307,5.091375827789307
1,5.1757354736328125,5.1757354736328125,4.1771159172058105,4.1771159172058105
2,4.195897102355957,4.195897102355957,3.551008462905884,3.551008462905884
3,3.552194833755493,3.552194833755493,3.1064610481262207,3.1064610481262207
4,2.980515718460083,2.980515718460083,2.7878975868225098,2.7878975868225098
5,2.5922691822052,2.5922691822052,2.537036180496216,2.537036180496216
0,6.6058430671691895,6.6058430671691895,5.099036693572998,5.099036693572998
1,5.273331165313721,5.273331165313721,4.180261611938477,4.180261611938477
2,4.18179988861084,4.18179988861084,3.5445473194122314,3.5445473194122314
3,3.4908194541931152,3.4908194541931152,3.1015610694885254,3.1015610694885254
4,2.993459463119507,2.993459463119507,2.7830746173858643,2.7830746173858643
5,2.5969834327697754,2.5969834327697754,2.5348570346832275,2.5348570346832275
6,2.3365349769592285,2.3365349769592285,2.3305394649505615,2.3305394649505615
7,2.1015806198120117,2.1015806198120117,2.1583871841430664,2.1583871841430664
8,1.933273196220398,1.933273196220398,2.009536027908325,2.009536027908325
0,6.3228583335876465,6.3228583335876465,2.000924587249756,2.000924587249756
1,2.145636558532715,2.145636558532715,1.233983039855957,1.233983039855957
2,1.3036519289016724,1.3036519289016724,1.0398732423782349,1.0398732423782349
3,1.0248470306396484,1.0248470306396484,0.9808823466300964,0.9808823466300964
4,0.9448641538619995,0.9448641538619995,0.9612028002738953,0.9612028002738953
5,0.9442250728607178,0.9442250728607178,0.9809993505477905,0.9809993505477905
6,0.9608237743377686,0.9608237743377686,0.9788680672645569,0.9788680672645569
7,0.9519116878509521,0.9519116878509521,0.971824049949646,0.971824049949646
