,MLR,QPR,FNN,RNN,LSTM
Training Error,0.7080316239513145,0.5428937895912104,0.13810900600117473,0.10881350060195387,0.08708939427534165
Test Error,0.691382031984704,0.544365829510809,0.29137891516881964,0.14283983050619714,0.0935000203695035
True Error,0.6939859268669056,0.5299631542487069,0.13429635673059906,0.1006151366565616,0.07443018643758474
Training Error SE,0.0005803088196033703,0.0006035648359297089,0.009586607998627528,0.00974641878788616,0.004004361998442883
Test Error SE,0.003408814826351866,0.0033008030935784676,0.006136056748489668,0.013032193764353984,0.0047119084502251765
True Error SE,0.000768463342721555,0.0005887582012031267,0.009112098484011165,0.009842478579829901,0.004004496149908952
