0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2176,0.2184,0.2188,0.2152,0.2176,0.2196,0.216,0.218,0.2176,0.2172,0.2188,0.2172,0.2172,0.2184,0.2168,0.2168,0.2168,0.2172,0.2172,0.2208,0.2168,0.2168,0.2176,0.2184,0.2176,0.22,0.2172,0.2188,0.2184,0.2168,0.2172,0.218,0.2152,0.2176,0.2168,0.22,0.2176,0.2184,0.2168,0.2172,0.2188,0.216,0.216,0.2176,0.2164,0.2176,0.2168,0.22,0.2164,0.218
0.238,0.2384,0.2368,0.2392,0.2388,0.2388,0.2376,0.238,0.2372,0.2388,0.2368,0.2376,0.238,0.2392,0.238,0.2392,0.2364,0.2384,0.2376,0.2368,0.2376,0.2372,0.2376,0.2384,0.2384,0.2364,0.2364,0.2376,0.238,0.2396,0.2392,0.24,0.2376,0.2388,0.2384,0.2368,0.2368,0.2396,0.2396,0.2384,0.2388,0.2372,0.2384,0.2368,0.2384,0.2376,0.2388,0.2388,0.2376,0.2392
0.2592,0.2568,0.2588,0.2584,0.2588,0.2584,0.2572,0.2592,0.2572,0.26,0.258,0.2608,0.2592,0.258,0.2604,0.26,0.2616,0.2576,0.26,0.258,0.2596,0.2592,0.2572,0.2604,0.2576,0.2592,0.2588,0.2584,0.26,0.2604,0.2576,0.2596,0.2588,0.2592,0.258,0.2588,0.2608,0.2584,0.2604,0.2604,0.2576,0.2584,0.2592,0.2584,0.2604,0.26,0.258,0.2588,0.2604,0.2584
0.2776,0.2784,0.2772,0.2768,0.2784,0.276,0.2776,0.276,0.2752,0.2784,0.276,0.2752,0.2768,0.2772,0.2776,0.2768,0.2804,0.276,0.2748,0.2756,0.2764,0.2768,0.2772,0.274,0.2752,0.2756,0.2744,0.2768,0.2776,0.278,0.2768,0.276,0.2748,0.2776,0.2756,0.2748,0.2772,0.2764,0.2776,0.2776,0.2764,0.276,0.2776,0.2752,0.2768,0.2756,0.2756,0.278,0.2756,0.2768
0.2948,0.2968,0.2952,0.2944,0.2952,0.2956,0.2968,0.296,0.2964,0.2932,0.296,0.2948,0.2968,0.296,0.2928,0.2952,0.294,0.2964,0.2972,0.2956,0.2948,0.2968,0.298,0.296,0.296,0.2944,0.294,0.2948,0.2956,0.2976,0.2968,0.296,0.2968,0.2976,0.296,0.2952,0.2976,0.2952,0.3,0.2968,0.2968,0.2948,0.2944,0.296,0.2972,0.2936,0.2964,0.2972,0.298,0.2976
0.316,0.3144,0.316,0.314,0.314,0.3148,0.3144,0.3144,0.3144,0.3164,0.3144,0.316,0.3144,0.3148,0.3144,0.312,0.3156,0.3132,0.3152,0.3172,0.3144,0.3172,0.3148,0.3152,0.3136,0.316,0.3136,0.3124,0.314,0.3144,0.3144,0.314,0.3164,0.3148,0.3148,0.3148,0.314,0.314,0.3128,0.314,0.3128,0.312,0.3144,0.3152,0.3136,0.314,0.3148,0.3136,0.3148,0.3152
0.3308,0.3308,0.332,0.3328,0.332,0.3344,0.33,0.3308,0.3316,0.3316,0.3304,0.3328,0.33,0.3324,0.3296,0.332,0.3304,0.332,0.3288,0.3296,0.332,0.3296,0.3332,0.3292,0.3324,0.3324,0.3324,0.3324,0.332,0.3324,0.328,0.33,0.3316,0.3308,0.3312,0.3312,0.33,0.3312,0.3316,0.332,0.3292,0.3316,0.3316,0.33,0.33,0.3292,0.3304,0.332,0.3312,0.3304
0.3476,0.3468,0.3472,0.3476,0.3472,0.35,0.3468,0.3472,0.3468,0.3476,0.348,0.348,0.3488,0.3476,0.346,0.3476,0.3488,0.3464,0.346,0.348,0.3456,0.3468,0.348,0.3472,0.3476,0.3492,0.346,0.346,0.3484,0.3484,0.346,0.346,0.3468,0.3484,0.3468,0.3488,0.3492,0.3476,0.3468,0.3472,0.3492,0.3472,0.3492,0.3476,0.3472,0.3476,0.3456,0.3472,0.3476,0.3488
0.3632,0.3628,0.3608,0.3628,0.362,0.364,0.3616,0.362,0.364,0.3624,0.364,0.3632,0.364,0.3624,0.3644,0.366,0.364,0.3632,0.3628,0.3632,0.3624,0.364,0.3652,0.3644,0.3632,0.366,0.3628,0.3656,0.364,0.362,0.3636,0.362,0.3644,0.3624,0.3644,0.3624,0.364,0.3648,0.362,0.3628,0.364,0.3656,0.3636,0.3632,0.3632,0.3628,0.3636,0.364,0.364,0.3632
0.3816,0.3804,0.3796,0.382,0.38,0.3808,0.378,0.3808,0.38,0.3804,0.3816,0.3808,0.3796,0.3812,0.382,0.3808,0.3828,0.3796,0.3812,0.3796,0.3796,0.382,0.382,0.38,0.38,0.3828,0.378,0.3844,0.3808,0.3792,0.382,0.3812,0.3844,0.3828,0.3804,0.3824,0.3812,0.3808,0.3796,0.3804,0.3816,0.3812,0.3792,0.3804,0.3804,0.3808,0.3804,0.3816,0.3828,0.3816
0.398,0.3976,0.3964,0.3964,0.3956,0.3972,0.396,0.3992,0.396,0.3964,0.398,0.3972,0.3976,0.4,0.3992,0.3976,0.398,0.396,0.396,0.3956,0.3968,0.3964,0.3996,0.396,0.396,0.3984,0.3984,0.3972,0.3968,0.3968,0.3988,0.398,0.398,0.396,0.3964,0.3984,0.3988,0.3972,0.3988,0.3972,0.396,0.3988,0.3984,0.3968,0.4004,0.3956,0.3976,0.3988,0.3964,0.3948
